     Energy_[eV]                s                p                d                f
    -20.46767377       0.00000031       0.00000100       0.00000275       0.00000064
    -20.44046162       0.00000031       0.00000099       0.00000270       0.00000063
    -20.41324946       0.00000031       0.00000097       0.00000264       0.00000063
    -20.38603731       0.00000031       0.00000095       0.00000259       0.00000062
    -20.35882515       0.00000031       0.00000094       0.00000253       0.00000061
    -20.33161300       0.00000031       0.00000092       0.00000246       0.00000060
    -20.30440085       0.00000031       0.00000091       0.00000238       0.00000059
    -20.27718869       0.00000032       0.00000089       0.00000231       0.00000058
    -20.24997654       0.00000031       0.00000087       0.00000223       0.00000056
    -20.22276439       0.00000031       0.00000085       0.00000214       0.00000054
    -20.19555223       0.00000031       0.00000083       0.00000207       0.00000053
    -20.16834008       0.00000031       0.00000081       0.00000200       0.00000051
    -20.14112793       0.00000030       0.00000079       0.00000194       0.00000050
    -20.11391577       0.00000030       0.00000077       0.00000190       0.00000049
    -20.08670362       0.00000030       0.00000076       0.00000186       0.00000048
    -20.05949146       0.00000029       0.00000075       0.00000183       0.00000047
    -20.03227931       0.00000029       0.00000074       0.00000179       0.00000046
    -20.00506716       0.00000029       0.00000073       0.00000175       0.00000046
    -19.97785500       0.00000028       0.00000071       0.00000170       0.00000044
    -19.95064285       0.00000027       0.00000069       0.00000164       0.00000043
    -19.92343070       0.00000026       0.00000066       0.00000156       0.00000040
    -19.89621854       0.00000025       0.00000063       0.00000146       0.00000038
    -19.86900639       0.00000024       0.00000059       0.00000136       0.00000035
    -19.84179423       0.00000023       0.00000055       0.00000125       0.00000032
    -19.81458208       0.00000022       0.00000051       0.00000114       0.00000029
    -19.78736993       0.00000021       0.00000047       0.00000104       0.00000026
    -19.76015777       0.00000020       0.00000043       0.00000094       0.00000023
    -19.73294562       0.00000018       0.00000039       0.00000084       0.00000020
    -19.70573347       0.00000017       0.00000035       0.00000076       0.00000018
    -19.67852131       0.00000016       0.00000032       0.00000068       0.00000016
    -19.65130916       0.00000014       0.00000029       0.00000060       0.00000014
    -19.62409700       0.00000013       0.00000025       0.00000053       0.00000012
    -19.59688485       0.00000011       0.00000022       0.00000046       0.00000010
    -19.56967270       0.00000010       0.00000019       0.00000040       0.00000009
    -19.54246054       0.00000008       0.00000017       0.00000034       0.00000007
    -19.51524839       0.00000007       0.00000014       0.00000028       0.00000006
    -19.48803624       0.00000006       0.00000012       0.00000024       0.00000005
    -19.46082408       0.00000005       0.00000010       0.00000020       0.00000004
    -19.43361193       0.00000004       0.00000009       0.00000016       0.00000003
    -19.40639977       0.00000003       0.00000007       0.00000013       0.00000002
    -19.37918762       0.00000003       0.00000006       0.00000010       0.00000002
    -19.35197547       0.00000002       0.00000005       0.00000008       0.00000001
    -19.32476331       0.00000002       0.00000004       0.00000006       0.00000001
    -19.29755116       0.00000001       0.00000003       0.00000005       0.00000001
    -19.27033901       0.00000001       0.00000002       0.00000003       0.00000001
    -19.24312685       0.00000001       0.00000001       0.00000002       0.00000000
    -19.21591470       0.00000000       0.00000001       0.00000002       0.00000000
    -19.18870255       0.00000000       0.00000001       0.00000001       0.00000000
    -19.16149039       0.00000000       0.00000000       0.00000001       0.00000000
    -19.13427824       0.00000000       0.00000000       0.00000000       0.00000000
