     Energy_[eV]                s                p                d                f
    -20.46767377       0.00021463       0.00058569       0.00215056       0.00059277
    -20.44046162       0.00021292       0.00058066       0.00213541       0.00059147
    -20.41324946       0.00021021       0.00057514       0.00212344       0.00059017
    -20.38603731       0.00020649       0.00056870       0.00211202       0.00058837
    -20.35882515       0.00020185       0.00056086       0.00209801       0.00058554
    -20.33161300       0.00019642       0.00055120       0.00207818       0.00058115
    -20.30440085       0.00019038       0.00053942       0.00204972       0.00057480
    -20.27718869       0.00018399       0.00052544       0.00201085       0.00056631
    -20.24997654       0.00017750       0.00050948       0.00196125       0.00055578
    -20.22276439       0.00017122       0.00049203       0.00190229       0.00054370
    -20.19555223       0.00016543       0.00047387       0.00183685       0.00053080
    -20.16834008       0.00016034       0.00045591       0.00176881       0.00051798
    -20.14112793       0.00015610       0.00043897       0.00170220       0.00050606
    -20.11391577       0.00015267       0.00042364       0.00164031       0.00049557
    -20.08670362       0.00014987       0.00041008       0.00158486       0.00048655
    -20.05949146       0.00014735       0.00039797       0.00153573       0.00047854
    -20.03227931       0.00014466       0.00038660       0.00149097       0.00047061
    -20.00506716       0.00014133       0.00037502       0.00144744       0.00046159
    -19.97785500       0.00013696       0.00036228       0.00140167       0.00045038
    -19.95064285       0.00013133       0.00034767       0.00135068       0.00043614
    -19.92343070       0.00012441       0.00033088       0.00129271       0.00041857
    -19.89621854       0.00011639       0.00031201       0.00122745       0.00039788
    -19.86900639       0.00010760       0.00029155       0.00115595       0.00037473
    -19.84179423       0.00009848       0.00027022       0.00108012       0.00035004
    -19.81458208       0.00008943       0.00024872       0.00100215       0.00032475
    -19.78736993       0.00008077       0.00022766       0.00092392       0.00029959
    -19.76015777       0.00007268       0.00020738       0.00084671       0.00027503
    -19.73294562       0.00006521       0.00018800       0.00077114       0.00025122
    -19.70573347       0.00005831       0.00016946       0.00069734       0.00022811
    -19.67852131       0.00005188       0.00015162       0.00062529       0.00020558
    -19.65130916       0.00004580       0.00013439       0.00055512       0.00018357
    -19.62409700       0.00004003       0.00011779       0.00048731       0.00016215
    -19.59688485       0.00003455       0.00010195       0.00042268       0.00014154
    -19.56967270       0.00002942       0.00008708       0.00036222       0.00012208
    -19.54246054       0.00002469       0.00007342       0.00030686       0.00010407
    -19.51524839       0.00002044       0.00006116       0.00025726       0.00008778
    -19.48803624       0.00001671       0.00005038       0.00021367       0.00007332
    -19.46082408       0.00001349       0.00004109       0.00017591       0.00006068
    -19.43361193       0.00001078       0.00003318       0.00014353       0.00004975
    -19.40639977       0.00000852       0.00002652       0.00011591       0.00004033
    -19.37918762       0.00000665       0.00002094       0.00009242       0.00003227
    -19.35197547       0.00000512       0.00001628       0.00007252       0.00002538
    -19.32476331       0.00000387       0.00001243       0.00005579       0.00001957
    -19.29755116       0.00000287       0.00000928       0.00004194       0.00001473
    -19.27033901       0.00000207       0.00000676       0.00003069       0.00001079
    -19.24312685       0.00000146       0.00000478       0.00002181       0.00000767
    -19.21591470       0.00000100       0.00000328       0.00001500       0.00000528
    -19.18870255       0.00000066       0.00000218       0.00000998       0.00000351
    -19.16149039       0.00000042       0.00000139       0.00000641       0.00000226
    -19.13427824       0.00000026       0.00000086       0.00000396       0.00000140
    -19.10706608       0.00000015       0.00000051       0.00000236       0.00000083
    -19.07985393       0.00000009       0.00000029       0.00000136       0.00000048
    -19.05264178       0.00000005       0.00000016       0.00000075       0.00000026
    -19.02542962       0.00000003       0.00000009       0.00000040       0.00000014
    -18.99821747       0.00000001       0.00000004       0.00000020       0.00000007
    -18.97100532       0.00000001       0.00000002       0.00000010       0.00000003
    -18.94379316       0.00000000       0.00000001       0.00000005       0.00000002
    -18.91658101       0.00000000       0.00000000       0.00000002       0.00000001
    -18.88936885       0.00000000       0.00000000       0.00000001       0.00000000
    -18.86215670       0.00000000       0.00000000       0.00000000       0.00000000
    -18.83494455       0.00000000       0.00000000       0.00000000       0.00000000
    -18.80773239       0.00000000       0.00000000       0.00000000       0.00000000
