     Energy_[eV]                s                p                d                f
    -20.46767377       0.00012188       0.00026213       0.00077804       0.00026883
    -20.44046162       0.00012231       0.00026253       0.00077244       0.00026625
    -20.41324946       0.00012259       0.00026348       0.00077081       0.00026418
    -20.38603731       0.00012229       0.00026380       0.00076930       0.00026160
    -20.35882515       0.00012094       0.00026219       0.00076358       0.00025741
    -20.33161300       0.00011809       0.00025741       0.00074965       0.00025058
    -20.30440085       0.00011345       0.00024859       0.00072446       0.00024039
    -20.27718869       0.00010691       0.00023534       0.00068664       0.00022652
    -20.24997654       0.00009863       0.00021790       0.00063663       0.00020923
    -20.22276439       0.00008898       0.00019711       0.00057671       0.00018923
    -20.19555223       0.00007849       0.00017419       0.00051042       0.00016759
    -20.16834008       0.00006780       0.00015057       0.00044195       0.00014555
    -20.14112793       0.00005748       0.00012764       0.00037531       0.00012429
    -20.11391577       0.00004799       0.00010648       0.00031374       0.00010472
    -20.08670362       0.00003963       0.00008781       0.00025933       0.00008742
    -20.05949146       0.00003251       0.00007190       0.00021291       0.00007260
    -20.03227931       0.00002658       0.00005868       0.00017430       0.00006016
    -20.00506716       0.00002170       0.00004785       0.00014260       0.00004981
    -19.97785500       0.00001769       0.00003898       0.00011660       0.00004117
    -19.95064285       0.00001437       0.00003166       0.00009509       0.00003387
    -19.92343070       0.00001158       0.00002554       0.00007709       0.00002765
    -19.89621854       0.00000922       0.00002039       0.00006187       0.00002230
    -19.86900639       0.00000723       0.00001605       0.00004900       0.00001771
    -19.84179423       0.00000556       0.00001241       0.00003820       0.00001383
    -19.81458208       0.00000419       0.00000943       0.00002931       0.00001060
    -19.78736993       0.00000310       0.00000704       0.00002215       0.00000799
    -19.76015777       0.00000224       0.00000519       0.00001656       0.00000595
    -19.73294562       0.00000160       0.00000379       0.00001232       0.00000438
    -19.70573347       0.00000113       0.00000277       0.00000921       0.00000323
    -19.67852131       0.00000080       0.00000205       0.00000700       0.00000239
    -19.65130916       0.00000056       0.00000156       0.00000549       0.00000181
    -19.62409700       0.00000040       0.00000123       0.00000448       0.00000141
    -19.59688485       0.00000030       0.00000101       0.00000385       0.00000113
    -19.56967270       0.00000022       0.00000088       0.00000345       0.00000095
    -19.54246054       0.00000017       0.00000079       0.00000321       0.00000083
    -19.51524839       0.00000013       0.00000073       0.00000304       0.00000074
    -19.48803624       0.00000010       0.00000068       0.00000289       0.00000068
    -19.46082408       0.00000008       0.00000063       0.00000273       0.00000062
    -19.43361193       0.00000007       0.00000057       0.00000253       0.00000055
    -19.40639977       0.00000005       0.00000051       0.00000228       0.00000049
    -19.37918762       0.00000004       0.00000044       0.00000200       0.00000042
    -19.35197547       0.00000003       0.00000037       0.00000169       0.00000036
    -19.32476331       0.00000003       0.00000030       0.00000138       0.00000029
    -19.29755116       0.00000002       0.00000024       0.00000109       0.00000023
    -19.27033901       0.00000001       0.00000018       0.00000082       0.00000017
    -19.24312685       0.00000001       0.00000013       0.00000060       0.00000012
    -19.21591470       0.00000001       0.00000009       0.00000042       0.00000009
    -19.18870255       0.00000000       0.00000006       0.00000028       0.00000006
    -19.16149039       0.00000000       0.00000004       0.00000018       0.00000004
    -19.13427824       0.00000000       0.00000003       0.00000012       0.00000002
    -19.10706608       0.00000000       0.00000001       0.00000007       0.00000001
    -19.07985393       0.00000000       0.00000001       0.00000004       0.00000001
    -19.05264178       0.00000000       0.00000000       0.00000002       0.00000000
    -19.02542962       0.00000000       0.00000000       0.00000001       0.00000000
    -18.99821747       0.00000000       0.00000000       0.00000001       0.00000000
    -18.97100532       0.00000000       0.00000000       0.00000000       0.00000000
    -18.94379316       0.00000000       0.00000000       0.00000000       0.00000000
    -18.91658101       0.00000000       0.00000000       0.00000000       0.00000000
    -18.88936885       0.00000000       0.00000000       0.00000000       0.00000000
    -18.86215670       0.00000000       0.00000000       0.00000000       0.00000000
    -18.83494455       0.00000000       0.00000000       0.00000000       0.00000000
