     Energy_[eV]                s                p                d                f
    -20.46767377       0.00000122       0.00000759       0.00005021       0.00001546
    -20.44046162       0.00000114       0.00000697       0.00004655       0.00001458
    -20.41324946       0.00000108       0.00000651       0.00004379       0.00001397
    -20.38603731       0.00000106       0.00000620       0.00004194       0.00001365
    -20.35882515       0.00000105       0.00000604       0.00004093       0.00001360
    -20.33161300       0.00000107       0.00000600       0.00004066       0.00001378
    -20.30440085       0.00000110       0.00000604       0.00004094       0.00001412
    -20.27718869       0.00000114       0.00000614       0.00004153       0.00001457
    -20.24997654       0.00000118       0.00000626       0.00004216       0.00001501
    -20.22276439       0.00000123       0.00000635       0.00004257       0.00001537
    -20.19555223       0.00000127       0.00000639       0.00004253       0.00001556
    -20.16834008       0.00000131       0.00000637       0.00004191       0.00001552
    -20.14112793       0.00000134       0.00000626       0.00004066       0.00001522
    -20.11391577       0.00000136       0.00000608       0.00003885       0.00001468
    -20.08670362       0.00000137       0.00000583       0.00003660       0.00001392
    -20.05949146       0.00000136       0.00000554       0.00003409       0.00001300
    -20.03227931       0.00000133       0.00000523       0.00003150       0.00001197
    -20.00506716       0.00000129       0.00000490       0.00002896       0.00001090
    -19.97785500       0.00000123       0.00000457       0.00002657       0.00000982
    -19.95064285       0.00000115       0.00000424       0.00002437       0.00000877
    -19.92343070       0.00000106       0.00000392       0.00002234       0.00000778
    -19.89621854       0.00000096       0.00000361       0.00002044       0.00000685
    -19.86900639       0.00000086       0.00000330       0.00001863       0.00000598
    -19.84179423       0.00000076       0.00000299       0.00001688       0.00000518
    -19.81458208       0.00000066       0.00000270       0.00001515       0.00000445
    -19.78736993       0.00000057       0.00000241       0.00001346       0.00000378
    -19.76015777       0.00000050       0.00000213       0.00001182       0.00000319
    -19.73294562       0.00000043       0.00000186       0.00001023       0.00000266
    -19.70573347       0.00000037       0.00000161       0.00000874       0.00000220
    -19.67852131       0.00000032       0.00000138       0.00000736       0.00000180
    -19.65130916       0.00000027       0.00000116       0.00000611       0.00000145
    -19.62409700       0.00000023       0.00000096       0.00000500       0.00000116
    -19.59688485       0.00000019       0.00000079       0.00000403       0.00000092
    -19.56967270       0.00000015       0.00000064       0.00000320       0.00000072
    -19.54246054       0.00000012       0.00000051       0.00000251       0.00000055
