#        z (A)          V_H average (eV)
        9.8424353535  -1.9449287732E+000
        9.9158863636  -1.7202422459E+000
        9.9893373737  -1.4268752873E+000
       10.0627883838  -1.0828994100E+000
       10.1362393939  -7.0773950627E-001
       10.2096904040  -3.2034729365E-001
       10.2831414141   6.2222044368E-002
       10.3565924242   4.2569146625E-001
       10.4300434343   7.5889654368E-001
       10.5034944444   1.0536707520E+000
       10.5769454545   1.3044332732E+000
       10.6503964646   1.5076356939E+000
       10.7238474747   1.6611947379E+000
       10.7972984848   1.7639949985E+000
       10.8707494949   1.8155051572E+000
       10.9442005051   1.8155226771E+000
       11.0176515152   1.7640474966E+000
       11.0911025253   1.6612819861E+000
       11.1645535354   1.5077571686E+000
       11.2380045455   1.3045879371E+000
       11.3114555556   1.0538567509E+000
       11.3849065657   7.5911083762E-001
       11.4583575758   4.2592943586E-001
       11.5318085859   6.2477145646E-002
       11.6052595960  -3.2008372728E-001
       11.6787106061  -7.0747820462E-001
       11.7521616162  -1.0826527585E+000
       11.8256126263  -1.4266565350E+000
       11.8990636364  -1.7200643755E+000
       11.9725146465  -1.9448031750E+000
       12.0459656566  -2.0861171965E+000
       12.1194166667  -2.1343314506E+000
       12.1928676768  -2.0860758623E+000
       12.2663186869  -1.9447233450E+000
       12.3397696970  -1.7199513305E+000
       12.4132207071  -1.4265172868E+000
       12.4866717172  -1.0824951620E+000
       12.5601227273  -7.0731005447E-001
       12.6335737374  -3.1991198405E-001
       12.7070247475   6.2646907409E-002
       12.7804757576   4.2609332291E-001
       12.8539267677   7.5926669974E-001
       12.9273777778   1.0540040670E+000
       13.0008287879   1.3047275950E+000
       13.0742797980   1.5078912009E+000
       13.1477308081   1.6614133026E+000
       13.2211818182   1.7641796359E+000
       13.2946328283   1.8156595789E+000
       13.3680838384   1.8156509452E+000
       13.4415348485   1.7641537565E+000
       13.5149858586   1.6613702568E+000
       13.5884368687   1.5078311682E+000
       13.6618878788   1.3046509276E+000
       13.7353388889   1.0539113903E+000
       13.8087898990   7.5915903563E-001
       13.8822409091   4.2597222142E-001
       13.9556919192   6.2514563552E-002
       14.0291429293  -3.2005266138E-001
       14.1025939394  -7.0745545769E-001
       14.1760449495  -1.0826411140E+000
       14.2494959596  -1.4266592963E+000
       14.3229469697  -1.7200849572E+000
       14.3963979798  -1.9448446286E+000
       14.4698489899  -2.0861817438E+000
