 # bias   e1    e2 (in ev)
   0.100000000000000  -0.000000856925781   0.000002670269580
   0.300000000000000  -0.000853400033703   0.000525102522165
   0.500000000000000  -0.000011510979484  -0.000409429055983
   0.700000000000000   0.000106233346578  -0.000356219020830
   0.800000000000000   0.000099468158648  -0.000379105770835
   0.900000000000000   0.000279908194313  -0.001515382353074
   1.000000000000000   0.000591342672908  -0.001323225033495
   1.100000000000000   0.001033445530734  -0.002068209262480
   1.200000000000000   0.000975589123817  -0.002185371246337
   1.400000000000000   0.003764561817027  -0.006047339418444
   1.500000000000000   0.003954280159847  -0.005955519576722
   1.600000000000000   0.004429576311951  -0.006590354253943
   1.800000000000000   0.003942161082649  -0.006226737155741
   1.900000000000000   0.004486037730385  -0.007103971526818
